"path","method","parameters","response"
"/v1/Navigation/Mobile","GET","[{""name"":""placeId"",""in"":""query"",""description"":""ID for place"",""required"":true,""type"":""integer"",""format"":""int32""},{""name"":""culture"",""in"":""query"",""description"":""Culture"",""required"":false,""type"":""string""}]","{""200"":{""description"":""OK"",""schema"":{""type"":""object"",""additionalProperties"":{""type"":""array"",""items"":{""$ref"":""MonsciergeIDK.Navigation.Models.NavItemPlatformModel""}}}}}"
"/v1/places/{placeId}/beacons","GET","[{""name"":""placeId"",""in"":""path"",""description"":""Id of place"",""required"":true,""type"":""integer"",""format"":""int32""}]","{""200"":{""description"":""OK"",""schema"":{""type"":""array"",""items"":{""$ref"":""MonsciergeAPI.Models.Beacon.BeaconModel""}}}}"
"/v1/Places/{placeId}/Menus","GET","[{""name"":""placeId"",""in"":""path"",""description"":""Id of the place."",""required"":true,""type"":""integer"",""format"":""int32""},{""name"":""includeFeatureMenus"",""in"":""query"",""description"":""Include feature menus"",""required"":false,""type"":""boolean"",""default"":false},{""name"":""culture"",""in"":""query"",""description"":""NOT SUPPORTED: Client culture. e.g. \"en_US\""",""required"":false,""type"":""string""}]","{""200"":{""description"":""OK"",""schema"":{""type"":""array"",""items"":{""$ref"":""MonsciergeIDK.Menus.Models.MenuModel""}}}}"
"/v2/Places/{placeId}/Recommendations/Categories/{categoryId}","GET","[{""name"":""placeId"",""in"":""path"",""description"":""ID for place"",""required"":true,""type"":""integer"",""format"":""int32""},{""name"":""categoryId"",""in"":""path"",""description"":""[Not Suppported]"",""required"":true,""type"":""integer"",""format"":""int32""},{""name"":""page"",""in"":""query"",""description"":""Page of data to load, 1 indexed"",""required"":false,""type"":""integer"",""format"":""int32""},{""name"":""size"",""in"":""query"",""description"":""Number of record to load"",""required"":false,""type"":""integer"",""format"":""int32""},{""name"":""culture"",""in"":""query"",""description"":""Culture parameter"",""required"":false,""type"":""string""}]","{""200"":{""description"":""OK"",""schema"":{""type"":""array"",""items"":{""$ref"":""MonsciergeIDK.Recommendations.Models.RecommendationDisplayModel""}}}}"
"/v2/Places/{placeId}/Requests/Templates/Search","GET","[{""name"":""placeId"",""in"":""path"",""description"":""Id for place"",""required"":true,""type"":""integer"",""format"":""int32""},{""name"":""query"",""in"":""query"",""description"":""Search string"",""required"":false,""type"":""string""},{""name"":""culture"",""in"":""query"",""description"":""Culture to search"",""required"":false,""type"":""string"",""default"":""en""},{""name"":""page"",""in"":""query"",""description"":""Page to query"",""required"":false,""type"":""integer"",""format"":""int32"",""default"":1},{""name"":""size"",""in"":""query"",""description"":""Size of paging"",""required"":false,""type"":""integer"",""format"":""int32"",""default"":10},{""name"":""staff"",""in"":""query"",""description"":""Show staff only templates"",""required"":false,""type"":""boolean"",""default"":false}]","{""200"":{""description"":""OK"",""schema"":{""$ref"":{""MonsciergeIDK.Requests.Models.RequestTemplateSearchResultModel"":{""type"":""object"",""properties"":{""count"":{""format"":""int64"",""type"":""integer""},""results"":{""type"":""array"",""items"":{""$ref"":""MonsciergeIDK.Requests.Models.RequestTemplateSearchModel""}}}}}}}}"
"/v1/Places/{placeId}/Info","GET","[{""name"":""placeId"",""in"":""path"",""description"":""ID for place"",""required"":true,""type"":""integer"",""format"":""int32""},{""name"":""culture"",""in"":""query"",""description"":""NOT SUPPORT - Culture"",""required"":false,""type"":""string""}]","{""200"":{""description"":""OK"",""schema"":{""$ref"":{""MonsciergeAPI.Models.Hotel.PropertyInfoModel"":{""title"":""property_info"",""description"":""Class PropertyInfoModel."",""type"":""object"",""properties"":{""place_id"":{""format"":""int32"",""type"":""integer""},""name"":{""type"":""string""},""brief_summary"":{""type"":""string""},""brand"":{""$ref"":""MonsciergeAPI.Models.Brand.BrandBaseModel""},""address"":{""$ref"":""MonsciergeAPI.Models.Base.AddressModel""},""phones"":{""type"":""array"",""items"":{""$ref"":""MonsciergeAPI.Models.Base.PhoneModel""}},""links"":{""type"":""array"",""items"":{""$ref"":""MonsciergeAPI.Models.Base.UriModel""}},""default_image"":{""type"":""string""},""background_image"":{""type"":""string""},""mobile_background_image"":{""type"":""string""},""check_in_request_template_id"":{""format"":""int32"",""type"":""integer""},""check_out_request_template_id"":{""format"":""int32"",""type"":""integer""},""wait_time"":{""format"":""double"",""type"":""number""},""time_zone_model"":{""$ref"":""MonsciergeAPI.Models.Place.TimeZoneModel""},""operating_hours"":{""$ref"":""System.Object""},""latitude"":{""format"":""double"",""type"":""number""},""longitude"":{""format"":""double"",""type"":""number""},""id"":{""format"":""int32"",""description"":""The {0} ID."",""default"":42,""type"":""integer""},""r_efid"":{""default"":""7267E21B-E9EE-40E9-98A3-80DC7F05CFCB"",""type"":""string""}}}}}}}"
"/v1/Places/{placeId}","GET","[{""name"":""placeId"",""in"":""path"",""description"":""ID of the place."",""required"":true,""type"":""integer"",""format"":""int32""},{""name"":""culture"",""in"":""query"",""description"":""Client culture. e.g. \"en_US\""",""required"":false,""type"":""string""}]","{""200"":{""description"":""OK"",""schema"":{""$ref"":{""MonsciergeAPI.Models.Place.PlaceHackModel"":{""title"":""place_hack"",""type"":""object"",""properties"":{""amenity"":{""$ref"":""MonsciergeAPI.Models.Amenity.AmenityModel""},""enterprise"":{""$ref"":""MonsciergeAPI.Models.Enterprise.EnterpriseModel""},""id"":{""format"":""int32"",""type"":""integer""},""place"":{""$ref"":""MonsciergeAPI.Models.Place.PlaceModel""},""geofence"":{""type"":""array"",""items"":{""$ref"":""MonsciergeIDK.Models.Common.LatLng""}}}}}}}}"
"/v1/Places/{placeId}/UIConfig","GET","[{""name"":""placeId"",""in"":""path"",""description"":""ID of the place."",""required"":true,""type"":""integer"",""format"":""int32""}]","{""200"":{""description"":""OK"",""schema"":{""$ref"":{""MonsciergeAPI.Models.Place.PlaceUiConfigModel"":{""title"":""place_ui_config"",""type"":""object"",""properties"":{""amenities_visible"":{""type"":""boolean""},""cab_enabled"":{""type"":""boolean""},""concierge_phone_visible"":{""type"":""boolean""},""default_postcard_message"":{""type"":""string""},""directions_visible"":{""type"":""boolean""},""events_visible"":{""type"":""boolean""},""facebook_page_id"":{""type"":""string""},""flights_visible"":{""type"":""boolean""},""has_anon_request_templates"":{""type"":""boolean""},""has_request_templates"":{""type"":""boolean""},""layouts"":{""type"":""array"",""items"":{""$ref"":""MonsciergeAPI.Models.Place.PlaceLayoutModel""}},""limo_enabled"":{""type"":""boolean""},""maps_visible"":{""type"":""boolean""},""messages_visible"":{""type"":""boolean""},""menus_visible"":{""type"":""boolean""},""phones_visible"":{""type"":""boolean""},""postcards_email_subject"":{""type"":""string""},""postcards_visible"":{""type"":""boolean""},""recommendations_visible"":{""type"":""boolean""},""requests_visible"":{""type"":""boolean""},""shuttle_enabled"":{""type"":""boolean""},""time_zone_model"":{""$ref"":""MonsciergeAPI.Models.Place.TimeZoneModel""},""transportation_visible"":{""type"":""boolean""},""valet_visible"":{""type"":""boolean""},""weather_visible"":{""type"":""boolean""},""welcome_send_visible"":{""type"":""boolean""},""airport"":{""$ref"":""MonsciergeAPI.Models.Flight.AirportBaseModel""},""cab_request_template_id"":{""format"":""int32"",""type"":""integer""},""check_in_request_template_id"":{""format"":""int32"",""type"":""integer""},""check_out_request_template_id"":{""format"":""int32"",""type"":""integer""},""concierge_phone_replace"":{""type"":""boolean""},""last_modified_ms"":{""format"":""int64"",""type"":""integer""},""limo_request_template_id"":{""format"":""int32"",""type"":""integer""},""postcard_hashtags"":{""type"":""string""},""requests_enabled"":{""type"":""boolean""},""shuttle_request_template_id"":{""format"":""int32"",""type"":""integer""},""style_type"":{""enum"":[""Default"",""ButtonStack"",""MetroGrid"",""CheckInOut""],""type"":""string""},""uris"":{""type"":""array"",""items"":{""$ref"":""MonsciergeAPI.Models.Base.UriModel""}},""valet_request_template_id"":{""format"":""int32"",""type"":""integer""},""address"":{""$ref"":""MonsciergeAPI.Models.Base.AddressModel""},""geocode"":{""$ref"":""MonsciergeAPI.Models.Base.GeocodeModel""},""phones"":{""type"":""array"",""items"":{""$ref"":""MonsciergeAPI.Models.Base.PhoneModel""}},""description"":{""type"":""string""},""default_image"":{""type"":""string""},""background_image"":{""type"":""string""},""mobile_background_image"":{""type"":""string""},""name"":{""description"":""The name of the place."",""default"":""Sheraton"",""type"":""string""},""id"":{""format"":""int32"",""description"":""The place ID."",""default"":42,""type"":""integer""},""r_efid"":{""default"":""7267E21B-E9EE-40E9-98A3-80DC7F05CFCB"",""type"":""string""}}}}}}}"
"/v1/Places/{placeId}/ExplorerConfig","GET","[{""name"":""placeId"",""in"":""path"",""description"":""ID of the place."",""required"":true,""type"":""integer"",""format"":""int32""},{""name"":""culture"",""in"":""query"",""description"":""Client culture. e.g. \"en_US\""",""required"":false,""type"":""string""}]","{""200"":{""description"":""OK"",""schema"":{""$ref"":{""MonsciergeAPI.Models.Place.PlaceExplorerModel"":{""title"":""place_explorer"",""type"":""object"",""properties"":{""place_featured_items"":{""type"":""array"",""items"":{""$ref"":""MonsciergeAPI.Models.Place.PlaceFeaturedItemModel""}},""place_explorer_items"":{""type"":""array"",""items"":{""$ref"":""MonsciergeAPI.Models.Place.PlaceExplorerItemModel""}},""id"":{""format"":""int32"",""description"":""The {0} ID."",""default"":42,""type"":""integer""},""r_efid"":{""default"":""7267E21B-E9EE-40E9-98A3-80DC7F05CFCB"",""type"":""string""}}}}}}}"
"/v1/Places/{placeId}/FeaturedItems","GET","[{""name"":""placeId"",""in"":""path"",""description"":""ID for place"",""required"":true,""type"":""integer"",""format"":""int32""},{""name"":""featureType"",""in"":""query"",""description"":""Type of featured items to return"",""required"":true,""type"":""string"",""enum"":[""Feature"",""Enterprise"",""LocalRecommendation"",""Event""]}]","{""200"":{""description"":""OK"",""schema"":{""type"":""array"",""items"":{""$ref"":""MonsciergeAPI.Models.Place.PlaceFeaturedItemModel""}}}}"
